index,Code,Courses,Units,TIME,M,TU,W,TH,F
0,ISM 201,"Introduction to Audio, Video & Graphics Editing Packages",2,9-10AM,Lab 1 -ISM 202,ASABA- GST 202,Lab 2 - ISM 209 ,Lab 2 - ISM 211  ,"Lab 2 -  ISM 201 Introduction to Audio, Video & Graphics Editing Packages"
1,ISM 202,Media Production Processes ,3,10-11AM,Lab 1 -ISM 202,ASABA- GST 202,Lab 2 - ISM 209 ,ASABA-  ENT 201,"Lab 2 - ISM 201 Introduction to Audio, Video & Graphics Editing Packages"
2,ISM 205,Freehand Sketches,2,11-12AM,Lab 1 -ISM 202,-,Lab 2 - ISM 211  Introduction to Database System,ASABA-  ENT 201,Lab 2 - ISM 205 Freehand Sketches
3,ISM 207,Digital Colour Technology,2,12-1PM,-,-,Lab 2 - ISM 211  Introduction to Database System,-,Lab 2 - ISM 205 Freehand Sketches
4,ISM 209,Web-Based Technologies & Multimedia,3,1-2PM,-,-,-,JALINGO -  ISM 207,-
5,ISM 211, Introduction to DataBase System,3,2-3PM,JALINGO - ISM 213,-,-,JALINGO -  ISM 207,ASABA- GST 201
6,ISM 213,Culture and Critical Analysis,2,3-4PM,JALINGO - ISM 213,-,-,-,ASABA- GST 201
7,GST 201,Communication in English III,2,4-5PM,Lab 2 - ISM 209 ,-,-,-,-
8,GST 202,Philosophical Anthropology,2,5-6PM,-,-,-,-,-
9,ENT 201,Entrepreneurship I,2,6-7PM,-,-,-,-,-
